species,pu,amount
1,47129,9232.9
4,47129,569.9
17,47129,45480.3
18,47129,2140425.9
19,47129,342.0
20,47129,114.0
21,46043,776.4
4,24047,602252.3
17,24047,161508.7
18,24047,435757.3
19,24047,97051.2
20,24047,6810.6
21,24047,364.9
18,17185,56490.3
19,17185,1523.6
20,17185,35745.9
21,17185,820.4
18,18069,33900.3
20,18069,1865.1
21,18069,987.4
5,21209,17867.2
17,21209,51717.0
18,21209,151984.6
20,21209,28874.1
21,21209,75.4
18,19053,316058.1
20,19053,19447.1
21,19053,16607.5
1,18169,2210.9
18,18169,54830.4
20,18169,1989.8
21,18169,13376.0
22,18169,331.6
1,18003,661.5
18,18003,55128.8
20,18003,8159.1
21,18003,1102.6
1,18099,1344.3
18,18099,31030.4
20,18099,8737.8
21,18099,3136.7
22,18099,784.2
5,31171,36960.9
18,31171,1815.3
20,31171,8370.4
21,38085,542.6
4,48127,52.3
17,48127,17.4
19,48127,17.4
20,48127,261.7
1,27045,183.5
17,27045,3944.2
18,27045,356172.4
20,27045,10365.0
21,27045,106585.7
22,27045,642.1
4,45023,1262176.1
5,45023,8404.5
17,45023,216770.1
18,45023,326611.4
19,45023,5575.3
20,45023,5908.1
17,27073,160.2
20,27073,7767.5
21,27073,1041.0
5,49005,20589.3
6,49005,342203.4
9,49005,78700.3
10,49005,9367.9
14,49005,1452.8
22,49005,515935.1
24,49005,54954.9
26,49005,138865.2
1,55093,4582.5
5,55093,852.6
16,55093,213.1
17,55093,213.1
18,55093,250436.9
20,55093,31224.7
21,55093,130440.3
22,55093,9910.9
3,13049,2101531.8
4,13049,61795.4
17,13049,7419.4
18,13049,9859.9
19,13049,729634.8
20,13049,195.2
3,13233,4647.2
4,13233,304352.8
17,13233,34739.6
18,13233,302753.0
19,13233,2057.0
18,17113,63156.2
20,17113,14317.0
21,17113,3117.4
1,23001,478391.1
2,23001,4389.9
17,23001,33253.6
18,23001,73311.6
20,23001,878.0
21,23001,1122830.7
22,23001,33143.9
6,16055,2373724.5
7,16055,785187.2
9,16055,1057729.9
10,16055,51575.3
11,16055,693206.4
12,16055,16609.0
20,16055,1262.7
22,16055,8644.4
26,16055,15637.7
5,32003,827008.0
6,32003,1682.5
7,32003,27181.8
9,32003,23517.7
22,32003,74.8
24,32003,822.6
26,32003,33014.5
5,20147,6193.0
18,20147,5898.1
20,20147,57654.0
21,20147,15974.0
5,31089,44743.3
7,31089,2121.4
17,31089,1478.6
18,31089,4628.6
20,31089,22435.9
7,29101,324.8
17,29101,4628.2
18,29101,331122.7
20,29101,85663.2
21,29101,49205.6
1,55063,47079.0
2,55063,347.0
17,55063,5668.0
18,55063,808208.5
20,55063,103064.8
21,55063,84557.1
22,55063,11336.0
4,22021,932786.2
17,22021,44147.3
18,22021,42084.3
19,22021,420925.6
20,22021,6931.5
28,22021,1237.8
17,21061,98095.0
18,21061,813715.3
20,21061,22569.6
21,21061,11780.2
18,17005,217586.3
20,17005,18384.3
21,17005,1163.6
18,17009,476965.7
19,17009,556.3
20,17009,5896.7
21,17009,6341.7
18,27085,1238.2
20,27085,722.3
21,27085,2063.7
22,27085,103.2
1,55033,31236.9
2,55033,1020.8
17,55033,510.4
18,55033,729370.2
20,55033,37157.6
21,55033,185277.4
22,55033,28889.0
5,08027,128166.3
6,08027,224190.0
7,08027,356466.8
9,08027,371426.2
10,08027,1145.5
14,08027,1886.8
22,08027,79446.9
24,08027,14892.1
4,29123,1440.5
5,29123,102.9
17,29123,13375.7
18,29123,1627924.1
20,29123,102.9
4,48353,4816.1
17,48353,92.6
19,48353,6761.1
20,48353,9817.5
1,42127,9104.7
2,42127,615.2
16,42127,2091.6
17,42127,19439.7
18,42127,270064.8
21,42127,2741126.7
1,36091,517723.6
2,36091,9049.0
4,36091,1447.8
16,36091,965.2
17,36091,96884.7
18,36091,330228.3
19,36091,603.3
20,36091,47899.4
21,36091,2126877.7
22,36091,5550.1
4,48041,3873.3
17,48041,4303.7
18,48041,37700.4
19,48041,47254.6
20,48041,126356.6
28,48041,2840.4
18,40095,374109.2
20,40095,574.8
1,24001,366.9
4,24001,1100.8
17,24001,2323.9
18,24001,1776779.3
20,24001,12842.4
21,24001,53448.9
1,54103,135.1
4,54103,135.1
18,54103,1845347.8
20,54103,20675.0
21,54103,108780.4
22,54103,135.1
1,55053,779827.9
2,55053,4825.6
17,55053,11836.3
18,55053,1233156.9
20,55053,77664.1
21,55053,166254.0
22,55053,290990.1
6,41007,5028442.2
9,41007,86641.3
10,41007,69313.0
11,41007,1855206.0
23,41007,482808.4
26,41007,216.6
6,53041,15298577.0
9,53041,3156928.2
11,53041,1365500.3
20,53041,110325.2
23,53041,3308851.4
1,36003,14043.7
4,36003,117.0
16,36003,43184.3
17,36003,3627.9
18,36003,139383.4
20,36003,42014.0
21,36003,3387333.3
22,36003,10766.8
18,19031,68653.2
20,19031,19014.5
21,19031,16911.9
22,19031,822.7
5,18117,822.2
17,18117,44164.2
18,18117,992520.6
20,18117,10101.4
21,18117,73293.8
4,13089,181817.9
17,13089,46603.5
18,13089,236224.3
19,13089,2030.9
20,13089,24263.8
1,13227,793.2
4,13227,16788.5
17,13227,46796.2
18,13227,1077105.0
21,13227,528.8
6,30015,18880.3
7,30015,16209.0
10,30015,74389.2
20,30015,498.0
22,30015,12949.1
5,31017,27131.9
7,31017,79054.4
18,31017,137.7
20,31017,22793.6
1,47013,2902.7
4,47013,1262.0
17,47013,8329.4
18,47013,2050671.1
20,47013,378.6
21,47013,1009.6
4,37069,941584.0
17,37069,422553.5
18,37069,1555794.5
19,37069,162.1
20,37069,44103.8
18,24510,5660.3
5,20111,23447.1
17,20111,1588.4
18,20111,31162.0
20,20111,19665.3
21,20111,907.6
18,19027,12332.4
20,19027,2325.0
21,19027,1213.0
18,22107,8727.8
19,22107,587850.0
20,22107,417993.9
28,22107,8325.0
1,47123,18493.0
4,47123,93139.8
17,47123,316135.3
18,47123,2198773.7
19,47123,3374.6
21,47123,12553.6
5,20075,20148.7
7,20075,366.3
20,20075,61.1
18,19151,1745.4
20,19151,6690.7
21,19151,97.0
5,16045,2033.8
6,16045,123894.1
7,16045,131436.2
9,16045,134317.5
10,16045,932.2
14,16045,593.2
22,16045,508.5
26,16045,84.7
4,05063,37439.6
